,countyCode,County,State,county_state,total_coverage,total_claims,mean_total_coverage,mean_total_claims
699,18129,Posey,IN,"Posey County, IN",8749900.0,2058708.21,61619.01408450704,14497.94514084507
700,18131,Pulaski,IN,"Pulaski County, IN",10356600.0,2297617.52,60212.79069767442,13358.241395348838
701,18133,Putnam,IN,"Putnam County, IN",2887300.0,484611.96,137490.47619047618,23076.76
702,18135,Randolph,IN,"Randolph County, IN",1173300.0,56903.13,58665.0,2845.1565
703,18137,Ripley,IN,"Ripley County, IN",2446500.0,112855.77,143911.76470588235,6638.574705882354
704,18139,Rush,IN,"Rush County, IN",1208900.0,97164.71,63626.31578947369,5113.932105263158
705,18141,St. Joseph,IN,"St. Joseph County, IN",22643600.0,1340856.51,125102.76243093924,7408.0470165745855
706,18143,Scott,IN,"Scott County, IN",1052300.0,64832.4,105230.0,6483.24
707,18145,Shelby,IN,"Shelby County, IN",17651500.0,2643821.95,82100.0,12296.846279069769
708,18147,Spencer,IN,"Spencer County, IN",2005900.0,204549.34,54213.51351351351,5528.360540540541
709,18149,Starke,IN,"Starke County, IN",3446000.0,425966.01,149826.08695652173,18520.261304347827
710,18151,Steuben,IN,"Steuben County, IN",3830500.0,198006.45,66043.10344827586,3413.904310344828
711,18153,Sullivan,IN,"Sullivan County, IN",45000.0,42214.64,45000.0,42214.64
712,18155,Switzerland,IN,"Switzerland County, IN",4220300.0,1212376.92,43508.24742268041,12498.731134020618
713,18157,Tippecanoe,IN,"Tippecanoe County, IN",21163700.0,3074577.05,97980.0925925926,14234.153009259258
714,18159,Tipton,IN,"Tipton County, IN",9002400.0,1535746.94,92808.24742268042,15832.44268041237
715,18161,Union,IN,"Union County, IN",171000.0,50519.63,57000.0,16839.876666666667
716,18163,Vanderburgh,IN,"Vanderburgh County, IN",54704100.0,6580323.11,68810.18867924529,8277.135987421385
717,18165,Vermillion,IN,"Vermillion County, IN",1916300.0,411142.16,28601.492537313432,6136.450149253732
718,18167,Vigo,IN,"Vigo County, IN",65615700.0,17036838.8,100483.46094946402,26090.10535987749
719,18169,Wabash,IN,"Wabash County, IN",7444100.0,442934.38,165424.44444444444,9842.986222222222
720,18171,Warren,IN,"Warren County, IN",245000.0,1983.17,122500.0,991.585
721,18173,Warrick,IN,"Warrick County, IN",11031000.0,583660.97,147080.0,7782.146266666667
722,18175,Washington,IN,"Washington County, IN",5774000.0,2739614.75,101298.24561403508,48063.41666666666
723,18177,Wayne,IN,"Wayne County, IN",6524500.0,400641.52,95948.5294117647,5891.78705882353
724,18179,Wells,IN,"Wells County, IN",3937600.0,726720.14,93752.38095238096,17302.860476190475
725,18181,White,IN,"White County, IN",21481300.0,4240464.36,92591.81034482758,18277.86362068965
726,18183,Whitley,IN,"Whitley County, IN",2609100.0,133251.79,96633.33333333331,4935.251481481482
727,19003,Adams,IA,"Adams County, IA",376200.0,212516.66,75240.0,42503.332
728,19005,Allamakee,IA,"Allamakee County, IA",2215100.0,84196.3,147673.33333333334,5613.086666666667
729,19007,Appanoose,IA,"Appanoose County, IA",216900.0,56314.09,27112.5,7039.2612500000005
730,19009,Audubon,IA,"Audubon County, IA",949500.0,126927.46,67821.42857142857,9066.247142857144
731,19011,Benton,IA,"Benton County, IA",12187100.0,2030329.23,112843.51851851853,18799.34472222222
732,19013,Black Hawk,IA,"Black Hawk County, IA",122978700.0,25837128.59,83149.8985801217,17469.32291413117
733,19015,Boone,IA,"Boone County, IA",5923600.0,447510.22,329088.8888888889,24861.67888888889
734,19017,Bremer,IA,"Bremer County, IA",54394000.0,14197062.38,84725.85669781931,22113.80433021807
735,19019,Buchanan,IA,"Buchanan County, IA",24184400.0,3146626.08,64320.21276595745,8368.686382978723
736,19021,Buena Vista,IA,"Buena Vista County, IA",28000.0,0.0,28000.0,0.0
737,19023,Butler,IA,"Butler County, IA",23654700.0,7065910.46,75094.28571428571,22431.46177777778
738,19025,Calhoun,IA,"Calhoun County, IA",64100.0,1455.5,64100.0,1455.5
739,19027,Carroll,IA,"Carroll County, IA",2045200.0,360245.71,157323.07692307694,27711.20846153846
740,19029,Cass,IA,"Cass County, IA",2510400.0,337592.78,44042.10526315789,5922.680350877194
741,19031,Cedar,IA,"Cedar County, IA",4007100.0,917169.18,105450.0,24136.03105263158
742,19033,Cerro Gordo,IA,"Cerro Gordo County, IA",18320600.0,3176873.11,84426.72811059908,14639.968248847925
743,19035,Cherokee,IA,"Cherokee County, IA",5668500.0,896343.5700000001,45348.0,7170.748560000001
744,19037,Chickasaw,IA,"Chickasaw County, IA",4542100.0,760315.3200000001,108145.23809523808,18102.74571428572
745,19041,Clay,IA,"Clay County, IA",1021700.0,37685.84,53773.68421052631,1983.465263157895
746,19043,Clayton,IA,"Clayton County, IA",14352300.0,3055901.2,69334.78260869565,14762.8077294686
747,19045,Clinton,IA,"Clinton County, IA",12563300.0,1194919.74,71790.28571428571,6828.1128
748,19047,Crawford,IA,"Crawford County, IA",6269900.0,1703401.09,71248.86363636363,19356.83056818182
749,19049,Dallas,IA,"Dallas County, IA",6223600.0,331770.35000000003,155590.0,8294.25875
750,19053,Decatur,IA,"Decatur County, IA",581600.0,24323.33,83085.71428571429,3474.7614285714285
751,19055,Delaware,IA,"Delaware County, IA",21042000.0,4022159.59,202326.92307692303,38674.611442307694
752,19057,Des Moines,IA,"Des Moines County, IA",38674200.0,10114140.57,110497.71428571428,28897.544485714287
753,19059,Dickinson,IA,"Dickinson County, IA",1380000.0,55300.44,276000.0,11060.088
754,19061,Dubuque,IA,"Dubuque County, IA",17650100.0,1947465.16,72934.29752066116,8047.376694214876
755,19063,Emmet,IA,"Emmet County, IA",1047500.0,43811.95,61617.64705882353,2577.1735294117643
756,19065,Fayette,IA,"Fayette County, IA",5343800.0,862890.6,55664.583333333336,8988.44375
757,19067,Floyd,IA,"Floyd County, IA",17988500.0,4300842.88,69722.86821705426,16669.93364341085
758,19069,Franklin,IA,"Franklin County, IA",255000.0,41005.58,127500.0,20502.79
759,19071,Fremont,IA,"Fremont County, IA",41902000.0,12291490.1,168959.67741935485,49562.46008064516
760,19073,Greene,IA,"Greene County, IA",503000.0,14565.32,55888.88888888889,1618.368888888889
