,countyCode,total_coverage,total_claims,mean_total_coverage,mean_total_claims
106,05021,10365500.0,3540003.02,62821.21212121212,21454.563757575757
107,05023,6385400.0,1197343.56,182440.0,34209.816
108,05025,180000.0,58297.479999999996,45000.0,14574.369999999999
109,05027,752100.0,89776.0,50140.0,5985.066666666667
110,05029,1919600.0,330662.99,56458.82352941176,9725.382058823528
111,05031,41167500.0,7290792.07,103176.69172932331,18272.661829573935
112,05033,11233200.0,1455188.74,156016.66666666666,20210.95472222222
113,05035,50884000.0,9647176.94,60720.76372315036,11512.14431980907
114,05037,6174200.0,1653299.6199999999,106451.72413793103,28505.165862068963
115,05039,67100.0,7083.83,67100.0,7083.83
116,05041,12642400.0,2709587.57,67606.41711229946,14489.773101604278
117,05043,3966700.0,653487.54,101710.2564102564,16756.09076923077
118,05045,45405000.0,7782235.49,143233.43848580442,24549.63876971609
119,05047,4328400.0,721220.59,90175.0,15025.428958333332
120,05049,3324100.0,1086835.29,67838.77551020408,22180.312040816327
121,05051,35619100.0,3996756.6,139682.74509803922,15673.555294117647
122,05053,1398400.0,88780.76,116533.33333333333,7398.3966666666665
123,05055,10476100.0,926980.45,45155.60344827586,3995.6053879310343
124,05057,1295600.0,588122.34,161950.0,73515.2925
125,05059,1509100.0,101293.55,88770.58823529411,5958.444117647059
126,05061,1476000.0,162386.95,54666.666666666664,6014.331481481482
127,05063,12049200.0,2206010.82,64780.645161290326,11860.273225806452
128,05065,6752400.0,2292299.21,99300.0,33710.2825
129,05067,10381400.0,2961731.84,61428.402366863906,17525.04047337278
130,05069,49105600.0,13865405.37,82253.93634840871,23225.134623115577
131,05071,351000.0,34108.16,58500.0,5684.693333333334
132,05073,169500.0,101875.29000000001,42375.0,25468.822500000002
133,05075,2556300.0,857945.82,59448.83720930233,19952.22837209302
134,05077,2244900.0,326654.57,52206.976744186046,7596.617906976744
135,05079,2474200.0,1010913.08,82473.33333333333,33697.102666666666
136,05081,517000.0,81503.92,172333.33333333334,27167.97333333333
137,05083,423600.0,78178.62,60514.28571428572,11168.374285714284
138,05085,9994500.0,1095189.72,120415.6626506024,13195.056867469879
139,05087,751400.0,112499.23999999999,107342.85714285714,16071.319999999998
140,05089,235000.0,104325.31999999999,58750.0,26081.329999999998
141,05091,10946900.0,2475760.4,82307.51879699249,18614.73984962406
142,05093,9141200.0,1644282.6,114265.0,20553.5325
143,05095,9659700.0,3805475.28,57157.98816568047,22517.60520710059
144,05097,3861900.0,1390402.66,68962.5,24828.618928571428
145,05099,105000.0,5209.28,105000.0,5209.28
146,05101,447300.0,119094.33,63900.0,17013.475714285716
147,05103,3831100.0,1327998.8,45608.333333333336,15809.509523809524
148,05105,3645100.0,1321879.52,113909.375,41308.735
149,05107,17073400.0,3536987.7,36796.120689655174,7622.818318965517
150,05109,1071800.0,377038.53,107180.0,37703.853
151,05111,10604700.0,1657919.11,153691.30434782608,24027.8131884058
152,05113,2571800.0,191764.11,116900.0,8716.550454545453
153,05115,10222900.0,931069.53,164885.48387096773,15017.250483870968
154,05117,5852200.0,2661433.42,67266.66666666667,30591.188735632182
155,05119,195371300.0,28234437.32,115604.31952662722,16706.767644970416
156,05121,28600000.0,8761762.35,127678.57142857143,39115.01049107143
157,05123,2195900.0,446887.38999999996,81329.62962962964,16551.384814814814
158,05125,29725400.0,5630704.95,119860.48387096774,22704.455443548388
159,05127,2885000.0,1019487.49,288500.0,101948.749
160,05131,60424600.0,17600264.19,153752.16284987278,44784.3872519084
161,05133,2156700.0,739523.23,126864.70588235294,43501.36647058823
162,05135,11468200.0,1807893.15,123313.97849462366,19439.71129032258
163,05137,1162200.0,202045.62,105654.54545454546,18367.783636363634
164,05139,8831900.0,1320017.44,68999.21875,10312.63625
165,05141,2419300.0,505386.15,161286.66666666666,33692.41
166,05143,61255900.0,10291894.72,171105.8659217877,28748.30927374302
167,05145,14006200.0,2971594.87,104523.88059701493,22176.081119402985
168,05147,3900400.0,1533581.49,57358.82352941176,22552.668970588235
169,05149,859300.0,147131.45,71608.33333333333,12260.954166666668
170,06001,71341100.0,2381427.7399999998,142968.1362725451,4772.400280561122
171,06003,1776400.0,45996.979999999996,296066.6666666667,7666.163333333333
172,06005,8410200.0,877351.3,121886.95652173914,12715.236231884059
173,06007,54832400.0,6095085.9,168715.07692307694,18754.11046153846
174,06009,10977900.0,1227949.2,192594.73684210525,21542.968421052632
175,06011,21319400.0,2962701.71,132418.63354037268,18401.87397515528
176,06013,179684900.0,10236618.9,155034.4262295082,8832.28550474547
177,06015,2790300.0,454597.56,77508.33333333333,12627.71
178,06017,36045500.0,3271348.82,186764.24870466322,16949.99388601036
179,06019,28067700.0,2025681.0,103954.44444444444,7502.522222222222
180,06021,18202300.0,2292105.11,96820.74468085106,12192.048457446808
181,06023,18818300.0,2411565.73,99567.72486772487,12759.607037037036
182,06025,4412600.0,657042.8099999999,40482.56880733945,6027.9156880733935
183,06027,99800.0,11669.44,24950.0,2917.36
184,06029,29962700.0,1437087.75,113495.07575757576,5443.514204545455
